Titel,Notiz,URL,Kommentar
Josefs Nahkauf Box,Test,https://www.google.com/maps/place/Josefs+Nahkauf+Box/data=!4m2!3m1!1s0x47a219c7610915b9:0x6c0d43e6ec4bde47,
Rhön Mountains,,https://www.google.com/maps/place/Rh%C3%B6n+Mountains/data=!4m2!3m1!1s0x47a315e2967297a9:0x629098a418834b27,
Hohensyburg,,https://www.google.com/maps/place/Hohensyburg/data=!4m2!3m1!1s0x47b93d0c9aa3e221:0x9161a4eb27150f0f,
Tiger & Turtle,,https://www.google.com/maps/place/Tiger+%26+Turtle/data=!4m2!3m1!1s0x47b8b8e2edbfce4b:0xca90d9ccf3f2dc50,
NATO Rampe,,https://www.google.com/maps/place/NATO+Rampe/data=!4m2!3m1!1s0x47b895e24372fbf7:0xaa79ee49bb35ada6,
Colliery Schlägel & Eisen,,https://www.google.com/maps/place/Colliery+Schl%C3%A4gel+%26+Eisen/data=!4m2!3m1!1s0x47b8e4e3bab12d17:0x67a015ead8edb44,
UNESCO-Welterbe Zollverein,,https://www.google.com/maps/place/UNESCO-Welterbe+Zollverein/data=!4m2!3m1!1s0x47b8e7eee0699f89:0x78f558bfb85b6c1a,
Andernach Geyser,,https://www.google.com/maps/place/Andernach+Geyser/data=!4m2!3m1!1s0x47be6003ae0fe53f:0xd3d4a125e5271b14,
Wadden Sea,,https://www.google.com/maps/place/Wadden+Sea/data=!4m2!3m1!1s0x47c8ffd38d1d14b1:0xce4fd6715fa7c038,
Triberg Waterfalls,,https://www.google.com/maps/place/Triberg+Waterfalls/data=!4m2!3m1!1s0x4790c2f5f1435c49:0xecc197b03ff8ef0,
Lange Anna,,https://www.google.com/maps/place/Lange+Anna/data=!4m2!3m1!1s0x47b5b6087840ef5f:0x2c2dbb135e16ca16,
Königsstuhl,,https://www.google.com/maps/place/K%C3%B6nigsstuhl/data=!4m2!3m1!1s0x47ab4825c001e807:0x334fdd6db94c51b0,
Lissabon,,https://www.google.com/maps/place/Lissabon/data=!4m2!3m1!1s0xd19331a61e4f33b:0x400ebbde49036d0,
Copenhagen,,https://www.google.com/maps/place/Copenhagen/data=!4m2!3m1!1s0x4652533c5c803d23:0x4dd7edde69467b8,
Mauritius,,https://www.google.com/maps/place/Mauritius/data=!4m2!3m1!1s0x217c504df94474c9:0x4203d9c2116bd031,
Öffentliche Badestelle,,https://www.google.com/maps/place/%C3%96ffentliche+Badestelle/data=!4m2!3m1!1s0x47adf9c4e8920ebf:0xc50d3101e7be1a95,
Thanon Khao San,,https://www.google.com/maps/place/Thanon+Khao+San/data=!4m2!3m1!1s0x30e29912cab71d0d:0x40b71c7b0079a776,
Natrup,,https://www.google.com/maps/place/Natrup/data=!4m2!3m1!1s0x47b9f2384826f139:0xa26cf79eb809f80,
Glücksburg Castle,,https://www.google.com/maps/place/Gl%C3%BCcksburg+Castle/data=!4m2!3m1!1s0x47b3415f6b614bc7:0x3f885bafdb438995,
Historic fishing village Holm,,https://www.google.com/maps/place/Historic+fishing+village+Holm/data=!4m2!3m1!1s0x47b30cb9a634bee9:0x7c22f32ddbe3834a,
Tokyo,,https://www.google.com/maps/place/Tokyo/data=!4m2!3m1!1s0x60188b857628235d:0xcdd8aef709a2b520,
Takayama,,https://www.google.com/maps/place/Takayama/data=!4m2!3m1!1s0x6002a342a14fc349:0xd4f2fb84f0b8e3dc,
Classic Village Viewpoint / Postcard Angle,,https://www.google.com/maps/place/Classic+Village+Viewpoint+%2F+Postcard+Angle/data=!4m2!3m1!1s0x47713612846fe77d:0xde080447d6d64c5d,
